Tarih	GunAdi	Miladi Tarih	Hicri Tarih	İmsak	Güneş	Öğle	İkindi	Akşam	Yatsı
2027-09-02	Perşembe	02 Eylül 2027 Perşembe	1 Rebiulahir 1449	04:49	06:18	13:03	16:42	19:37	20:54
2027-09-03	Cuma	03 Eylül 2027 Cuma	2 Rebiulahir 1449	04:51	06:19	13:02	16:41	19:35	20:53
2027-09-04	Cumartesi	04 Eylül 2027 Cumartesi	3 Rebiulahir 1449	04:52	06:20	13:02	16:40	19:34	20:51
2027-09-05	Pazar	05 Eylül 2027 Pazar	4 Rebiulahir 1449	04:53	06:21	13:02	16:39	19:32	20:49
2027-09-06	Pazartesi	06 Eylül 2027 Pazartesi	5 Rebiulahir 1449	04:54	06:22	13:01	16:38	19:31	20:47
2027-09-07	Salı	07 Eylül 2027 Salı	6 Rebiulahir 1449	04:56	06:23	13:01	16:37	19:29	20:45
2027-09-08	Çarşamba	08 Eylül 2027 Çarşamba	7 Rebiulahir 1449	04:57	06:24	13:01	16:36	19:27	20:43
2027-09-09	Perşembe	09 Eylül 2027 Perşembe	8 Rebiulahir 1449	04:58	06:25	13:00	16:35	19:26	20:41
2027-09-10	Cuma	10 Eylül 2027 Cuma	9 Rebiulahir 1449	04:59	06:26	13:00	16:34	19:24	20:40
2027-09-11	Cumartesi	11 Eylül 2027 Cumartesi	10 Rebiulahir 1449	05:00	06:27	13:00	16:33	19:22	20:38
2027-09-12	Pazar	12 Eylül 2027 Pazar	11 Rebiulahir 1449	05:02	06:28	12:59	16:32	19:21	20:36
2027-09-13	Pazartesi	13 Eylül 2027 Pazartesi	12 Rebiulahir 1449	05:03	06:29	12:59	16:31	19:19	20:34
2027-09-14	Salı	14 Eylül 2027 Salı	13 Rebiulahir 1449	05:04	06:30	12:59	16:30	19:17	20:32
2027-09-15	Çarşamba	15 Eylül 2027 Çarşamba	14 Rebiulahir 1449	05:05	06:31	12:58	16:29	19:16	20:30
2027-09-16	Perşembe	16 Eylül 2027 Perşembe	15 Rebiulahir 1449	05:06	06:32	12:58	16:28	19:14	20:28
2027-09-17	Cuma	17 Eylül 2027 Cuma	16 Rebiulahir 1449	05:07	06:33	12:58	16:27	19:12	20:27
